Nombre,Precio,Enlace
Cerveza Stella Artois Lager 5.4° 330 cc,$1.180,https://www.santaisabel.cl/cerveza-botella-330-cc-1123745/p
Cerveza Kunstmann Arandano Ale 4.8° 330 cc,$2.150,https://www.santaisabel.cl/cerveza-kunstmann-botella-330-cc-sabor-arandano/p
Cerveza Singha Lager 5° botella 330 cc,$625,https://www.santaisabel.cl/cerv-singha-lager-5-0-bot-330cc-1964062/p
Cerveza Paulaner Lemon Radler 2.5° 500 cc,$1.950,https://www.santaisabel.cl/cerveza-lemon-radler-lata-2-5-500-ml-1842891/p
Cerveza Cristal Lager Sin alcohol 350 cc,$1.090,https://www.santaisabel.cl/cerveza-cristal-lata-350-cc-cero-nacional-sin-alcohol/p
Cerveza Dolbek Ale 5.5° 330 cc,$2.150,https://www.santaisabel.cl/cerveza-artesanal-dolbek-330-ml-lager-ale/p
Cerveza Pilsen del Sur Lager 5.0° 473 cc,$1.100,https://www.santaisabel.cl/cerveza-lata-4-4-473-cc/p
Cerveza Dolbek Pale Ale Maqui 4.8° 330 cc,$2.090,https://www.santaisabel.cl/cerveza-maqui-botella-330-cc-1662775/p
Cerveza AC/DC Lager 5.0° 568 cc,$1.780,https://www.santaisabel.cl/cerveza-ac-dc-lata-568-cc/p
Cerveza Kross Stout 5.4° 330 cc,$1.950,https://www.santaisabel.cl/cerveza-kross-botella-330-cc-stout-negra-nacional/p
Cerveza Budweiser Lager 5.0° 354 cc,$1.050,https://www.santaisabel.cl/cerveza-lata-355-cc-263521/p
Cerveza Austral Lager 4.6° 330 cc,$2.150,https://www.santaisabel.cl/cerveza-lager-botella-330-cc-263486/p
Cerveza Kross Golden Ale 5.3° 330 cc,$1.950,https://www.santaisabel.cl/cerveza-golden-ale-330-cc-765125/p
Cerveza Cusqueña Golden Lager 4.8° 355 cc,$850,https://www.santaisabel.cl/cerveza-lager-rubia-4-8-355-cc-1552711/p
